dataset,method,series,origin,weighted_quantile_loss,coverage_80,normalized_width_80
m4_weekly,chronos,9,320,0.07950746615727743,0.9230769230769231,0.3792067307692308
m4_weekly,chronos,9,324,0.07122291448788763,1.0,0.5628004807692307
m4_weekly,chronos,10,928,0.2149868842882988,0.8461538461538461,1.2415865384615385
m4_weekly,chronos,10,943,0.1179180194170047,1.0,1.0504807692307692
m4_weekly,chronos,10,959,0.11505948580228366,0.6923076923076923,0.5288461538461539
m4_weekly,chronos,10,974,0.4518911459507086,0.15384615384615385,0.7019230769230769
m4_weekly,chronos,10,990,1.0433946661460094,0.7692307692307693,0.8125
m4_weekly,chronos,10,1005,0.7231199738306878,1.0,5.545072115384615
m4_weekly,chronos,10,1021,0.22433913151423135,1.0,2.737530048076923
m4_weekly,chronos,10,1036,0.07628834889485288,0.46153846153846156,0.1505408653846154
m4_weekly,chronos,11,720,0.08286134768755007,0.8461538461538461,0.4182692307692308
m4_weekly,chronos,11,732,0.05630520796164489,1.0,0.5480769230769231
m4_weekly,chronos,11,743,0.03227430490347056,0.9230769230769231,0.27403846153846156
m4_weekly,chronos,11,755,0.19617216403667745,0.07692307692307693,0.25240384615384615
m4_weekly,chronos,11,766,0.10954221823276619,0.3076923076923077,0.3076923076923077
m4_weekly,chronos,11,778,0.05798498789469401,0.9230769230769231,0.37259615384615385
m4_weekly,chronos,11,789,0.044938136369754106,1.0,0.39663461538461536
m4_weekly,chronos,11,801,0.04279401485736554,0.6923076923076923,0.24759615384615385
m4_weekly,chronos,12,637,0.28722912225967795,0.07692307692307693,0.390625
m4_weekly,chronos,12,647,0.1428517635052021,0.9230769230769231,0.7103365384615384
m4_weekly,chronos,12,657,0.08940846981146397,0.9230769230769231,0.5096153846153846
m4_weekly,chronos,12,667,0.0920179293705867,0.8461538461538461,0.5805288461538461
m4_weekly,chronos,12,676,0.08353132223471618,0.9230769230769231,0.5264423076923077
m4_weekly,chronos,12,686,0.0743412237900954,0.7692307692307693,0.46274038461538464
m4_weekly,chronos,12,696,0.10137702501737153,0.7692307692307693,0.4230769230769231
m4_weekly,chronos,12,706,0.04212578871311286,1.0,0.34375
m4_weekly,chronos,13,1228,0.6690960871867644,0.07692307692307693,1.4447115384615385
m4_weekly,chronos,13,1249,0.21326877092703794,1.0,2.027043269230769
m4_weekly,chronos,13,1270,0.6294713237346747,0.15384615384615385,1.4501201923076923
m4_weekly,chronos,13,1291,0.24963071682514282,0.38461538461538464,0.7674278846153846
m4_weekly,chronos,13,1312,0.16525669755079808,0.7692307692307693,0.9278846153846154
m4_weekly,chronos,13,1333,0.12091709390664711,1.0,0.7713341346153846
