dataset,method,series,origin,weighted_quantile_loss,coverage_80,normalized_width_80
m4_weekly,chronos,10,1185,0.07383263661311223,1.0,0.7919170673076923
m4_weekly,chronos,10,1207,0.09293489731275119,0.8461538461538461,0.5416165865384616
m4_weekly,chronos,11,815,0.1608339603130634,0.5384615384615384,0.18269230769230768
m4_weekly,chronos,11,832,0.19205445265158627,0.3076923076923077,0.40625
m4_weekly,chronos,11,849,0.14901404014000524,1.0,1.3533653846153846
m4_weekly,chronos,11,866,0.11886693514310401,1.0,0.7355769230769231
m4_weekly,chronos,11,883,0.0573956391750238,0.6923076923076923,0.23798076923076922
m4_weekly,chronos,11,900,0.24403769419743462,0.0,0.24519230769230768
m4_weekly,chronos,11,917,0.04936768947503505,1.0,0.3894230769230769
m4_weekly,chronos,11,934,0.04577310513227414,0.7692307692307693,0.20673076923076922
m4_weekly,chronos,12,720,0.14798547793657352,0.38461538461538464,0.4098557692307692
m4_weekly,chronos,12,735,0.06836197681916065,1.0,0.5925480769230769
m4_weekly,chronos,12,750,0.07376053883479192,0.7692307692307693,0.41947115384615385
m4_weekly,chronos,12,765,0.1501031007522192,0.46153846153846156,0.4170673076923077
m4_weekly,chronos,12,779,0.0900137253296681,0.9230769230769231,0.7223557692307693
m4_weekly,chronos,12,794,0.15794642644050796,0.5384615384615384,0.515625
m4_weekly,chronos,12,809,0.14026064016880133,0.6923076923076923,0.6237980769230769
m4_weekly,chronos,12,824,0.06477570411486504,1.0,0.7620192307692307
m4_weekly,chronos,13,1389,0.041568764012593476,0.6923076923076923,0.19707782451923078
m4_weekly,chronos,13,1419,0.20797216382164221,0.23076923076923078,0.6583909254807693
m4_weekly,chronos,13,1450,0.2661420787896555,0.38461538461538464,0.46878756009615385
m4_weekly,chronos,13,1480,0.20620488111789412,0.5384615384615384,0.9300255408653846
m4_weekly,chronos,13,1511,0.20004630545393015,0.5384615384615384,0.48619666466346156
m4_weekly,chronos,13,1541,0.15288165379793214,0.0,0.4172551081730769
m4_weekly,chronos,13,1572,0.09872506138605949,1.0,1.0255725567157452
m4_weekly,chronos,13,1602,0.14588173520870695,0.6153846153846154,0.30258413461538464
m4_weekly,chronos,14,632,1.4580802012712526,0.6923076923076923,6.1610576923076925
m4_weekly,chronos,14,645,1.2715233313731655,0.8461538461538461,6.324519230769231
m4_weekly,chronos,14,657,1.3469729276803823,0.7692307692307693,6.788461538461538
m4_weekly,chronos,14,670,1.1766076161311223,0.8461538461538461,5.752403846153846
m4_weekly,chronos,14,683,1.388046330672044,0.6923076923076923,5.810096153846154
m4_weekly,chronos,14,696,1.2789708137512206,0.7692307692307693,5.382211538461538
m4_weekly,chronos,14,708,1.2144064512008277,0.9230769230769231,6.860576923076923
m4_weekly,chronos,14,721,1.0390805806869114,0.9230769230769231,6.710336538461538
m4_weekly,chronos,15,338,0.12102273855453885,0.7692307692307693,0.5745192307692307
m4_weekly,chronos,15,344,0.07149420579274494,0.8461538461538461,0.4441105769230769
m4_weekly,chronos,15,350,0.3047692598440709,0.23076923076923078,0.38521634615384615
m4_weekly,chronos,15,356,0.4532204148096915,0.23076923076923078,0.8022836538461539
m4_weekly,chronos,15,361,0.5714042284549808,0.0,0.5024038461538461
m4_weekly,chronos,15,367,0.11066883985812846,1.0,1.1164456881009615
m4_weekly,chronos,15,373,0.16403343463555364,1.0,1.0671950120192308
m4_weekly,chronos,15,379,0.11444353476548805,1.0,0.6636117788461539
m4_weekly,chronos,16,1389,0.05338054375770765,1.0,0.4636418269230769
m4_weekly,chronos,16,1419,0.15461403131484988,0.8461538461538461,0.9029447115384616
m4_weekly,chronos,16,1450,0.25672944784164425,0.5384615384615384,0.5778245192307693
m4_weekly,chronos,16,1480,0.13410246846003412,0.7692307692307693,0.7430889423076923
m4_weekly,chronos,16,1511,0.2257834714574691,0.46153846153846156,0.4279597355769231
m4_weekly,chronos,16,1541,0.18371639863038677,0.15384615384615385,0.5216064453125
m4_weekly,chronos,16,1572,0.21411815936892076,0.5384615384615384,0.7291165865384616
m4_weekly,chronos,16,1602,0.14433946515588714,0.46153846153846156,0.24806565504807693
m4_weekly,chronos,17,1886,0.09468200023357685,1.0,0.7007211538461539
m4_weekly,chronos,17,1928,0.3006379469847067,0.23076923076923078,0.4014423076923077
m4_weekly,chronos,17,1970,0.16166554964505703,0.7692307692307693,0.5649038461538461
m4_weekly,chronos,17,2012,0.11769250845297784,1.0,0.8846153846153846
m4_weekly,chronos,17,2053,0.11633430872208034,1.0,1.0685096153846154
m4_weekly,chronos,17,2095,0.13386777486556614,1.0,1.1394230769230769
m4_weekly,chronos,17,2137,0.23689934657170225,0.6923076923076923,0.6442307692307693
m4_weekly,chronos,17,2179,0.15722775337023615,0.6923076923076923,0.5336538461538461
m4_weekly,chronos,18,1389,0.1484405700977032,0.23076923076923078,0.314453125
m4_weekly,chronos,18,1419,0.26222945180697704,0.7692307692307693,1.2572115384615385
m4_weekly,chronos,18,1450,0.34915375342735877,0.15384615384615385,0.5187612680288461
