role,method,dataset,domain,windows,series,mse,mae,rmse,mase,rmsse,smape,wape_numerator,wape_denominator,wape,patchtst_mse,relative_mse_reduction
confirmation,insample_router,pedestrian,transport,192,24,0.2244759233419711,0.30734247347413657,0.39017436668470656,1.391892629052706,1.1886484854877397,0.6371677738636842,619594.3024528411,1.918964e+06,0.3228795863042981,0.26949376454565516,0.1670459473508803
confirmation,insample_router,rideshare,mobility,192,24,2.7234766475307595,1.5738894288897427,1.6147335592789072,561443.2533721428,158.40173936705077,1.2932895470634886,16182.723847385243,20529.19,0.7882787522778631,2.7234766475307595,0.0
confirmation,insample_router,temperature_rain,climate,192,24,4.536225083957433,1.119393837685104,1.5348038295282072,1.293361635593209,0.9384679747080868,1.4494393398919787,40272.96009518694,41609.645,0.9678756103032995,4.469381644411449,-0.01495585852006287
confirmation,insample_router,tourism_monthly,tourism,192,24,12.448863939093696,2.3388738005681566,2.758152274111531,1.5983275911804666,1.4720873006685922,0.30505515346949247,23420158.911678396,1.5730925e+08,0.14887973345138866,13.826759269397877,0.09965425038922981
confirmation,last_value,bitcoin,economic,144,18,3827.044129611262,20.284356497349574,25.413106997516397,1.7856960180124832,1.4825327520991196,0.21659231260402592,2.685945783047626e+21,2.944461e+22,0.09122028441450426,9390.32478097645,0.5924481613922082
confirmation,last_value,fred_md,macroeconomic,192,24,21.803822820632845,0.9226847167669298,1.0624428080852266,0.6655760686702064,0.6703285242082152,0.08610300343206574,18604937.331465907,2.5137315e+08,0.07401322370125632,40.255214690246945,0.4583602897560627
confirmation,last_value,kdd_air,air_quality,192,24,1.6102935661651643,0.5776629122869963,0.6915851761897546,0.8101909115716844,0.7756374698732672,0.505020524075151,90768.40062884321,237219.4,0.38263480237019276,1.1057381086564229,-0.45630647398218405
confirmation,last_value,m4_hourly,competition_hourly,192,24,1.8674093248491708,1.082092657208073,1.3162944188104102,13.965198710029291,13.660706022606169,0.3156078114613698,14363241.118631208,7.485511e+07,0.19188056413075982,0.5009415711731597,-2.727798674156484
confirmation,last_value,m4_weekly,competition_weekly,192,24,2.1334887200574895,0.659358608280761,0.7873880956970768,3.194768920820717,2.7893809032183303,0.06212534139420079,626294.3378962836,1.4279037e+07,0.0438611047717212,2.6003773882075536,0.17954650362188063
confirmation,last_value,nn5,banking,192,24,2.502700342092271,1.221911391157781,1.498550740352717,2.112874818768414,1.8205491148615855,0.4929411103400991,93195.9256629369,198289.8,0.46999859363256463,0.830744318037187,-2.0126000115239324
confirmation,last_value,pedestrian,transport,192,24,1.3827252839350799,0.7818281050733478,0.9435430235879539,3.2588395069941067,2.772721765761324,1.1011805955672542,1776039.9997754635,1.918964e+06,0.9255202285063521,0.26949376454565516,-4.130824775357024
confirmation,last_value,rideshare,mobility,192,24,0.25627321118940477,0.2542158677345772,0.334720081799661,560767.6765434275,156.8500242689969,0.1593048064474532,2973.428633899315,20529.19,0.14483906637856533,2.7234766475307595,0.9059021815289825
confirmation,last_value,temperature_rain,climate,192,24,9.098024895665707,1.298755683862651,1.8247309458243672,1.5005291280080206,1.1162738017741307,1.258331276924861,44321.848107114165,41609.645,1.0651820895472257,4.469381644411449,-1.0356339242234887
